teslimat_saati,bolge_yogunlugu,kullanici_gecmis_basarisi,adres_tipi,hafta_sonu_mu,basari_ihtimali,onerilen_yontem,karbon_kazanci_gram
14,48.03,45.44,1,0,16.35,1,1119.82
10,22.49,41.77,0,0,30.07,1,1020.87
13,39.3,100.0,1,0,65.63,2,511.65
13,7.22,67.53,1,0,76.2,2,393.17
15,19.54,80.69,1,0,68.51,2,421.38
15,28.94,56.57,1,1,34.93,1,964.96
7,27.25,78.42,0,0,43.48,2,788.88
12,10.54,100.0,0,0,86.15,0,159.18
15,15.07,58.95,0,1,41.79,2,805.36
14,31.11,81.17,0,0,60.76,2,559.07
19,65.54,43.89,0,1,6.44,1,1224.87
16,58.85,100.0,0,0,43.38,2,753.98
10,37.82,77.37,1,1,50.1,2,664.35
8,51.88,63.74,1,1,37.65,1,900.74
16,65.9,66.04,2,0,18.89,1,1153.97
6,14.3,61.8,0,1,36.53,1,862.4
15,71.53,62.82,0,0,20.53,1,1090.39
21,58.22,23.05,0,0,3.63,1,1281.78
15,59.97,70.04,0,0,30.91,1,955.68
13,14.82,69.2,1,0,62.43,2,506.1
16,28.0,81.77,0,0,55.9,2,611.23
13,62.25,61.54,0,0,22.79,1,1092.21
14,40.82,56.58,0,1,29.71,1,1003.95
21,42.6,71.84,0,0,36.16,1,921.64
13,65.21,39.75,0,1,16.22,1,1174.01
21,31.72,74.87,0,0,34.46,1,1007.84
20,50.69,34.76,0,0,20.88,1,1103.46
10,70.82,94.42,0,0,31.63,1,1001.12
8,75.0,85.69,0,1,9.85,1,1260.75
9,22.57,53.48,1,1,37.78,1,950.03
5,29.84,85.22,0,0,46.07,2,744.02
8,55.76,74.23,0,0,31.74,1,943.85
16,77.84,51.82,0,0,14.6,1,1183.99
8,20.91,31.54,0,0,14.07,1,1188.7
12,54.92,78.33,0,0,44.46,2,770.99
19,36.34,56.11,0,0,28.38,1,983.29
6,68.44,93.9,0,0,21.94,1,1124.71
18,23.64,72.28,0,1,59.21,2,569.65
11,68.81,58.01,1,0,27.87,1,1040.8
9,60.51,100.0,1,0,44.06,2,760.52
16,31.44,83.53,0,0,59.35,2,571.53
15,10.15,0.0,0,0,0.0,1,1357.02
19,50.59,62.27,1,0,24.48,1,1076.45
17,35.81,44.32,1,1,21.27,1,1153.56
18,8.15,56.0,2,0,46.46,2,661.98
11,70.06,69.11,0,1,14.67,1,1190.22
10,34.02,79.08,0,0,53.93,2,634.19
17,69.02,77.23,1,1,28.38,1,1004.18
18,51.33,93.56,1,0,50.71,2,600.58
23,68.6,84.73,0,1,14.29,1,1195.89
13,3.41,83.49,1,0,93.9,2,149.48
12,42.72,76.03,0,0,45.92,2,703.87
17,82.24,97.74,0,0,11.45,1,1213.9
12,22.45,65.67,0,0,61.28,2,535.9
20,43.44,66.19,0,0,32.64,1,906.0
19,16.51,33.89,1,1,22.74,1,1079.75
13,78.94,93.12,1,0,17.78,1,1154.01
17,31.51,70.46,1,0,45.54,2,717.04
17,42.63,100.0,0,1,67.04,0,403.4
9,42.06,63.89,0,0,42.42,2,774.19
20,53.43,73.77,0,0,34.62,1,965.96
14,23.46,82.93,0,1,69.41,0,364.0
18,50.78,49.96,1,0,33.29,1,974.52
12,38.19,79.17,0,0,47.72,2,697.9
20,9.24,72.69,0,1,64.46,2,565.49
13,6.49,65.93,0,0,57.59,2,575.86
2,46.57,95.45,0,0,34.93,1,910.23
20,6.83,53.93,1,0,51.99,2,653.13
8,36.14,77.5,0,0,26.66,1,1008.23
12,19.03,100.0,1,0,85.96,2,210.97
21,46.96,57.87,1,1,32.73,1,979.04
21,55.71,66.06,0,1,27.26,1,930.98
15,55.21,100.0,0,0,42.53,2,748.11
15,55.3,81.49,1,0,43.02,2,723.54
13,45.78,61.88,0,0,30.01,1,994.17
11,60.38,88.05,1,0,32.26,1,897.19
12,45.53,60.64,0,1,40.6,2,809.24
16,29.67,40.7,0,1,35.27,1,946.46
17,6.42,99.45,2,1,84.95,0,131.6
18,68.65,49.94,1,0,16.88,1,1153.18
18,80.11,100.0,0,0,24.12,1,1076.1
8,30.44,62.21,0,0,37.0,1,934.16
14,29.37,100.0,0,0,73.28,0,276.57
8,7.01,44.63,1,0,41.18,2,737.59
14,30.79,92.51,0,1,65.63,0,457.54
13,38.91,81.99,0,0,52.67,2,623.32
19,18.7,88.75,2,0,53.62,2,620.74
12,18.6,91.36,0,0,76.34,0,302.93
9,39.44,62.05,0,1,39.09,1,845.9
9,34.99,45.82,1,1,32.6,1,950.81
17,20.18,70.98,0,0,50.42,2,701.7
15,67.95,76.46,0,1,26.39,1,990.68
9,2.13,62.56,0,0,61.42,2,527.95
8,65.7,77.55,2,0,16.15,1,1122.35
16,20.66,78.59,0,0,54.37,2,604.28
8,36.28,53.8,0,0,20.92,1,1134.58
18,45.83,79.9,1,0,46.34,2,766.07
16,38.61,66.66,0,0,42.45,2,778.32
8,33.7,58.0,1,0,45.2,2,753.52
8,30.59,87.75,0,0,51.55,2,676.58
22,36.72,56.46,1,0,19.38,1,1097.25
12,56.98,62.87,1,1,30.2,1,994.71
12,53.27,73.44,2,0,37.14,1,865.44
18,16.16,99.49,0,0,79.99,0,211.35
21,69.8,75.86,1,0,28.27,1,1008.15
22,13.63,82.57,0,0,50.8,2,638.57
17,62.76,66.05,1,0,30.29,1,948.38
12,50.68,70.43,0,0,44.03,2,730.26
8,13.47,71.02,0,0,43.05,2,797.76
17,61.93,77.87,0,1,35.61,1,969.37
14,51.0,66.08,0,0,31.91,1,966.12
13,46.48,98.8,0,1,50.77,2,688.21
20,24.13,64.54,1,0,47.97,2,687.42
9,41.7,37.86,0,0,30.53,1,921.72
14,21.3,100.0,1,0,93.25,2,134.2
3,39.94,65.45,0,0,17.52,1,1130.57
13,14.92,98.26,0,0,79.76,0,247.13
8,73.8,100.0,0,0,26.98,1,1023.19
9,39.46,90.9,0,0,54.93,2,612.42
9,31.84,68.04,0,0,46.28,2,707.36
16,50.0,77.73,2,0,27.14,1,1034.63
17,75.06,46.51,0,0,7.87,1,1214.61
15,23.91,100.0,1,0,76.91,2,381.19
21,52.01,54.96,0,0,15.47,1,1146.74
12,42.71,66.92,2,1,29.94,1,1052.69
11,37.03,73.98,0,0,41.94,2,767.21
19,3.86,69.85,2,0,50.59,2,658.49
10,49.91,58.86,0,0,25.27,1,1029.83
21,57.28,99.89,0,0,43.51,2,743.76
3,65.85,91.01,0,0,17.22,1,1161.62
22,56.18,78.44,0,0,31.19,1,974.46
7,32.25,64.01,0,1,36.29,1,944.19
19,20.25,93.29,0,0,69.16,0,384.06
14,4.56,62.71,1,0,68.19,2,462.67
23,56.52,100.0,0,0,25.95,1,1049.83
8,43.4,74.22,0,0,34.07,1,977.07
14,38.44,96.6,0,0,56.95,2,616.33
22,21.58,69.72,1,0,43.97,2,760.82
14,9.03,73.43,0,0,66.16,0,418.81
15,79.35,96.51,1,0,18.18,1,1097.31
16,69.82,100.0,0,0,30.78,1,1057.82
13,74.36,100.0,0,0,27.33,1,1037.84
15,74.5,89.54,0,1,33.23,1,970.1
15,40.61,83.79,2,1,47.36,2,710.76
20,26.24,61.86,0,0,41.11,2,717.7
7,31.01,77.9,0,0,47.83,2,698.1
11,23.86,53.74,1,0,40.26,2,799.16
21,26.0,79.52,0,1,46.98,2,691.56
19,48.38,80.8,1,0,39.73,1,848.26
13,17.91,32.78,2,0,29.58,1,984.85
15,42.56,72.77,2,0,43.79,2,777.66
11,13.15,80.3,0,0,60.34,2,593.6
10,39.16,70.33,0,0,46.11,2,731.76
13,40.09,79.16,2,0,31.76,1,951.87
12,71.53,45.17,0,0,15.15,1,1157.28
15,15.69,56.48,0,1,52.0,2,659.03
8,25.35,92.7,0,1,53.14,2,648.89
22,27.76,72.01,0,1,43.24,2,774.2
22,56.52,78.8,2,0,30.31,1,973.16
16,49.64,61.07,1,1,35.21,1,943.4
14,51.16,72.39,0,1,37.83,1,909.53
12,42.81,25.96,1,1,24.54,1,1043.64
18,18.28,88.92,0,0,67.03,0,344.0
16,25.45,100.0,2,0,61.59,2,514.37
10,52.73,50.7,0,0,19.77,1,1159.8
20,46.03,53.19,0,1,27.32,1,971.39
18,29.93,80.82,0,0,56.8,2,637.89
21,7.59,100.0,0,0,80.4,0,183.33
17,18.78,71.96,0,0,56.94,2,573.5
15,52.75,47.41,0,0,19.7,1,1102.31
13,21.06,67.83,2,1,48.14,2,755.82
20,70.99,51.4,2,0,8.23,1,1251.97
19,87.64,58.62,1,0,3.37,1,1303.14
7,34.67,65.92,2,1,24.59,1,1026.91
6,58.12,53.41,2,0,12.97,1,1209.97
12,47.5,56.44,1,1,24.45,1,1041.26
18,56.06,73.49,0,0,36.04,1,910.59
22,77.95,76.3,2,0,7.8,1,1245.67
9,37.94,43.52,1,0,29.11,1,1022.25
15,2.11,79.93,0,0,76.37,0,306.39
12,52.29,64.36,0,0,29.48,1,969.48
22,67.43,86.41,0,1,27.0,1,1007.16
19,9.4,87.61,2,0,57.53,2,567.81
19,76.84,61.11,1,0,5.89,1,1284.79
13,82.97,84.28,2,1,14.16,1,1207.26
13,56.69,55.26,1,0,23.85,1,1069.71
11,12.02,98.48,0,0,88.44,0,73.04
8,42.55,56.02,1,0,33.67,1,968.75
19,21.47,79.05,0,0,50.34,2,635.44
18,61.56,68.25,0,0,29.25,1,977.55
23,17.09,51.66,1,1,29.52,1,1001.7
23,67.37,90.02,1,0,22.99,1,1071.62
14,36.76,59.72,1,0,35.36,1,951.86
17,34.32,38.0,0,0,25.62,1,1024.26
21,26.8,14.36,1,0,10.3,1,1197.38
19,31.05,54.5,0,1,29.99,1,980.72
11,35.05,99.52,0,0,57.84,2,615.21
13,5.77,97.15,0,1,99.88,0,20.28
9,56.32,57.63,1,0,25.43,1,1047.51
21,30.89,64.51,0,0,45.19,2,777.55
15,56.12,62.7,0,1,26.17,1,1070.25
11,59.14,45.33,1,0,26.89,1,1051.0
16,59.04,53.02,1,0,19.15,1,1084.89
15,48.79,91.62,0,1,56.63,2,623.99
12,48.66,82.08,0,0,43.01,2,757.8
9,68.02,77.46,2,0,24.29,1,1046.65
16,48.54,45.3,2,0,15.96,1,1138.04
14,47.75,74.01,0,1,44.25,2,743.81
17,52.28,25.92,0,0,16.19,1,1136.94
14,82.15,88.86,1,1,16.7,1,1154.75
19,82.12,77.17,0,0,1.75,1,1323.81
14,10.34,45.1,0,1,36.89,1,913.97
15,66.08,100.0,0,0,28.35,1,1026.4
19,16.57,36.08,0,0,29.34,1,989.14
13,40.58,82.61,1,0,51.67,2,637.82
9,17.62,83.1,0,0,66.24,0,344.97
6,28.6,47.21,0,0,20.76,1,1123.97
17,9.54,71.24,2,0,65.35,0,418.22
15,58.94,39.26,2,1,15.46,1,1159.16
16,54.18,15.07,2,0,7.2,1,1298.7
10,85.28,50.64,0,1,4.73,1,1254.57
9,55.9,59.67,0,0,26.16,1,1037.74
4,9.77,84.89,0,0,48.74,2,666.25
12,63.25,73.35,0,1,30.02,1,1009.46
15,23.39,73.87,0,1,53.69,2,568.97
13,43.49,51.71,2,0,30.02,1,1013.86
13,15.89,61.4,2,0,42.8,2,789.25
